trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.3669999999999999, 'e': 0.5874289361645234}",20,11,-8.351460746016514,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.3659999999999999, 'e': 0.5850839135917069}",25,3,-104.09118753780452,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 1}",1
135,False,"{'a': 0.3649999999999999, 'e': 0.5827482523739896}",20,0,-68.79509427247439,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
136,False,"{'a': 0.3639999999999999, 'e': 0.5804219151407424}",20,0,-22.888973974940075,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
137,False,"{'a': 0.3629999999999999, 'e': 0.5781048646705196}",30,16,1.2300357611637946,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.3619999999999999, 'e': 0.5757970638904645}",25,2,-67.47758417133743,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 1}",1
139,False,"{'a': 0.3609999999999999, 'e': 0.5734984758757153}",20,0,-95.90344624051035,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
140,False,"{'a': 0.3599999999999999, 'e': 0.5712090638488149}",25,13,-19.9559314790253,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.3589999999999999, 'e': 0.5689287911791218}",20,5,3.1271557505207666,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.3579999999999999, 'e': 0.5666576213822246}",20,3,-69.50746013938395,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
143,False,"{'a': 0.3569999999999999, 'e': 0.5643955181193583}",20,0,-72.77239117595296,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
144,False,"{'a': 0.35599999999999987, 'e': 0.5621424451968224}",25,3,-47.42462629497702,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
145,False,"{'a': 0.35499999999999987, 'e': 0.559898366565402}",20,0,-38.610461944962616,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
146,False,"{'a': 0.35399999999999987, 'e': 0.5576632463197913}",25,14,-71.44383453404171,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
147,False,"{'a': 0.35299999999999987, 'e': 0.5554370486980182}",30,8,-47.49349819141532,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.35199999999999987, 'e': 0.5532197380808739}",35,0,-146.35655602263782,"{0: 24, 1: 4, 2: 3, 3: 1, 4: 3}",0
149,False,"{'a': 0.35099999999999987, 'e': 0.5510112789913407}",20,0,-55.05146859186561,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
150,False,"{'a': 0.34999999999999987, 'e': 0.5488116360940265}",25,7,-84.13107022177446,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 1}",1
151,False,"{'a': 0.34899999999999987, 'e': 0.5466207741945976}",30,20,14.182475269008616,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.34799999999999986, 'e': 0.5444386582392171}",20,1,-80.89881822453225,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
153,False,"{'a': 0.34699999999999986, 'e': 0.5422652533139832}",25,14,19.297587346606164,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.34599999999999986, 'e': 0.5401005246443706}",20,0,-40.61634221983991,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
155,False,"{'a': 0.34499999999999986, 'e': 0.5379444375946745}",20,7,13.157749439956351,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.34399999999999986, 'e': 0.535796957667456}",20,0,-41.75517557233011,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
157,False,"{'a': 0.34299999999999986, 'e': 0.5336580505029906}",30,9,-44.66514524285865,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.34199999999999986, 'e': 0.5315276818787179}",25,9,-60.03427705119845,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
159,False,"{'a': 0.34099999999999986, 'e': 0.5294058177086945}",20,15,8.07435371048131,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.33999999999999986, 'e': 0.5272924240430485}",25,8,5.263736012416858,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.33899999999999986, 'e': 0.5251874670674361}",35,0,-124.80455376248277,"{0: 26, 1: 1, 2: 4, 3: 2, 4: 2}",0
162,False,"{'a': 0.33799999999999986, 'e': 0.5230909131025008}",35,9,-33.68410590201114,"{0: 21, 1: 1, 2: 2, 3: 2, 4: 0}",1
163,False,"{'a': 0.33699999999999986, 'e': 0.5210027286033344}",20,16,7.8976278325989995,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.33599999999999985, 'e': 0.5189228801589404}",25,9,-35.099048653039205,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.33499999999999985, 'e': 0.5168513344916992}",25,6,26.71825361322192,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.33399999999999985, 'e': 0.5147880584568362}",20,5,-30.634806502141867,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
167,False,"{'a': 0.33299999999999985, 'e': 0.5127330190418905}",25,0,-74.27395199474506,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
168,False,"{'a': 0.33199999999999985, 'e': 0.5106861833661879}",25,5,-77.45438105487784,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
169,False,"{'a': 0.33099999999999985, 'e': 0.5086475186803137}",20,14,11.423381359735783,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.32999999999999985, 'e': 0.5066169923655895}",25,0,-128.63310384396175,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
171,False,"{'a': 0.32899999999999985, 'e': 0.5045945719335512}",20,0,-37.04183017054158,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
172,False,"{'a': 0.32799999999999985, 'e': 0.5025802250254283}",25,0,-97.36024525273034,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
173,False,"{'a': 0.32699999999999985, 'e': 0.5005739194116277}",25,5,-54.308843994826816,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",1
